SEQN,RIDAGEYR,RIDRETH3
94912,10,3
94913,0,3
94914,17,7
94915,11,4
94916,26,4
94917,11,1
94918,71,2
94919,5,2
94920,58,4
94921,61,6
94922,66,4
94923,15,4
94924,29,3
94925,8,4
94926,37,3
94927,28,6
94928,9,3
94929,78,3
94930,50,4
94931,63,3
94932,50,3
94933,54,1
94934,12,6
94935,41,7
94936,25,4
94937,59,3
94938,61,4
94939,31,7
94940,80,7
94941,28,4
94942,0,3
94943,5,6
94944,17,1
94945,29,1
94946,23,3
94947,8,4
94948,0,4
94949,0,1
94950,80,3
94951,9,4
94952,63,3
94953,59,3
94954,34,4
94955,80,6
94956,11,4
94957,43,3
94958,58,6
94959,48,4
94960,26,3
94961,14,6
94962,57,6
94963,72,3
94964,48,1
94965,14,3
94966,44,7
94967,40,4
94968,24,4
94969,80,3
94970,55,1
94971,10,2
94972,39,3
94973,16,1
94974,4,4
94975,56,4
94976,12,3
94977,75,3
94978,5,2
94979,66,4
94980,60,4
94981,0,3
94982,32,4
94983,18,6
94984,62,2
94985,7,6
94986,62,3
94987,63,3
94988,71,3
94989,35,7
94990,56,4
94991,26,4
94992,2,3
94993,80,3
94994,18,2
94995,58,7
94996,55,6
94997,44,2
94998,45,3
94999,2,7
95000,76,6
95001,80,3
95002,26,1
95003,10,3
95004,80,3
95005,46,7
95006,11,3
95007,79,3
95008,9,2
95009,13,4
95010,4,2
95011,65,3
95012,1,3
95013,56,3
95014,35,1
95015,7,3
95016,73,3
95017,5,1
95018,1,7
95019,40,3
95020,80,4
95021,5,3
95022,16,1
95023,13,1
95024,19,3
95025,57,3
95026,20,4
95027,76,6
95028,30,3
95029,43,4
95030,63,7
95031,54,3
95032,12,3
95033,49,6
95034,61,3
95035,42,7
95036,80,3
95037,20,1
95038,7,6
95039,23,3
95040,26,3
95041,60,2
95042,65,2
95043,64,6
95044,67,3
95045,69,3
95046,63,4
95047,74,3
95048,23,3
95049,3,2
95050,6,4
95051,52,4
95052,40,6
95053,50,3
95054,16,1
95055,40,1
95056,34,7
95057,71,3
95058,36,3
95059,53,3
95060,44,6
95061,45,1
95062,61,4
95063,46,3
95064,27,4
95065,20,2
95066,73,2
95067,55,4
95068,80,3
95069,26,3
95070,61,2
95071,38,3
95072,16,3
95073,71,1
95074,37,4
95075,70,3
95076,39,6
95077,47,6
95078,0,4
95079,4,3
95080,28,2
95081,9,4
95082,80,3
95083,37,3
95084,4,3
95085,0,3
95086,7,6
95087,8,6
95088,50,1
95089,31,4
95090,18,6
95091,62,4
95092,12,7
95093,51,1
95094,37,2
95095,80,3
95096,21,1
95097,66,3
95098,68,2
95099,70,6
95100,17,6
95101,80,3
95102,61,6
95103,39,2
95104,2,3
95105,67,3
95106,17,6
95107,6,3
95108,13,2
95109,3,1
95110,67,1
95111,15,3
95112,14,4
95113,20,1
95114,34,1
95115,33,4
95116,62,3
95117,9,2
95118,57,6
95119,20,6
95120,10,3
95121,66,1
95122,6,7
95123,50,2
95124,58,4
95125,5,3
95126,59,6
95127,16,3
95128,33,4
95129,60,1
95130,2,3
95131,60,3
95132,9,3
95133,7,4
95134,37,1
95135,78,3
95136,10,1
95137,53,3
95138,71,3
95139,29,3
95140,42,1
95141,7,3
95142,3,1
95143,51,1
95144,6,3
95145,5,3
95146,10,4
95147,2,3
95148,56,4
95149,48,3
95150,15,3
95151,80,3
95152,59,4
95153,23,3
95154,8,3
95155,62,1
95156,3,3
95157,54,4
95158,15,3
95159,12,3
95160,66,4
95161,16,2
95162,17,7
95163,68,6
95164,1,2
95165,39,4
95166,0,1
95167,13,1
95168,59,4
95169,61,6
95170,67,6
95171,41,3
95172,71,1
95173,80,4
95174,25,7
95175,0,7
95176,9,1
95177,57,6
95178,1,3
95179,31,3
95180,4,6
95181,39,3
95182,56,2
95183,14,1
95184,21,3
95185,17,4
95186,28,6
95187,10,4
95188,11,4
95189,66,4
95190,28,1
95191,54,1
95192,15,4
95193,9,3
95194,19,1
95195,19,2
95196,1,4
95197,34,3
95198,19,4
95199,61,4
95200,23,1
95201,17,3
95202,23,3
95203,54,4
95204,18,6
95205,1,3
95206,47,4
95207,71,4
95208,78,1
95209,73,4
95210,44,3
95211,22,1
95212,3,6
95213,25,1
95214,70,4
95215,52,3
95216,50,6
95217,3,1
95218,16,3
95219,7,3
95220,61,1
95221,35,7
95222,72,2
95223,16,4
95224,73,7
95225,10,3
95226,8,4
95227,22,6
95228,46,3
95229,0,7
95230,0,1
95231,32,7
95232,23,4
95233,21,1
95234,7,4
95235,4,1
95236,76,1
95237,29,3
95238,78,4
95239,23,1
95240,1,6
95241,29,1
95242,58,4
95243,68,4
95244,48,4
95245,6,3
95246,0,2
95247,64,6
95248,0,3
95249,70,3
95250,44,6
95251,38,3
95252,70,3
95253,10,4
95254,3,2
95255,24,3
95256,66,3
95257,39,4
95258,62,2
95259,80,3
95260,26,3
95261,24,2
95262,24,7
95263,0,3
95264,18,6
95265,46,1
95266,58,3
95267,1,4
95268,70,3
95269,18,4
95270,5,7
95271,0,3
95272,80,3
95273,62,1
95274,48,3
95275,41,7
95276,33,3
95277,0,3
95278,43,2
95279,36,6
95280,42,3
95281,61,4
95282,6,6
95283,18,1
95284,41,2
95285,6,3
95286,17,3
95287,56,6
95288,34,3
95289,56,1
95290,8,7
95291,4,4
95292,8,3
95293,16,3
95294,1,1
95295,5,6
95296,40,6
95297,15,7
95298,60,4
95299,7,3
95300,11,3
95301,41,6
95302,45,1
95303,15,7
95304,2,4
95305,17,1
95306,3,7
95307,19,1
95308,64,4
95309,5,3
95310,52,1
95311,10,1
95312,25,6
95313,54,3
95314,11,4
95315,63,7
95316,43,3
95317,5,3
95318,60,3
95319,55,1
95320,1,1
95321,65,4
95322,60,2
95323,21,6
95324,70,2
95325,68,2
95326,72,3
95327,58,4
95328,17,3
95329,47,6
95330,77,4
95331,8,7
95332,75,4
95333,39,4
95334,60,2
95335,68,1
95336,9,3
95337,13,3
95338,72,2
95339,71,3
95340,52,6
95341,0,3
95342,31,3
95343,61,6
95344,11,4
95345,17,4
95346,61,4
95347,9,3
95348,39,2
95349,14,4
95350,14,4
95351,25,6
95352,50,3
95353,39,1
95354,8,6
95355,14,1
95356,61,6
95357,56,4
95358,70,6
95359,2,4
95360,69,3
95361,72,3
95362,42,1
95363,2,4
95364,41,6
95365,0,3
95366,44,1
95367,55,1
95368,1,6
95369,15,3
95370,4,3
95371,7,3
95372,80,3
95373,13,3
95374,27,1
95375,56,7
95376,7,4
95377,63,3
95378,80,4
95379,59,4
95380,62,3
95381,17,7
95382,60,4
95383,5,1
95384,0,3
95385,28,6
95386,5,3
95387,15,4
95388,17,4
95389,20,3
95390,46,3
95391,44,1
95392,21,3
95393,28,6
95394,47,1
95395,13,3
95396,13,4
95397,68,3
95398,3,7
95399,13,3
95400,5,3
95401,80,3
95402,28,4
95403,49,3
95404,12,6
95405,53,6
95406,80,3
95407,1,4
95408,9,3
95409,6,3
